id,category_id,name,description,price,image_url,is_available,is_sold_out,created_at
a75156dc-8c1d-48e4-b856-8babed4f3ac7,1360dbfe-81d4-45ad-9ff5-c06953ea4d60,Roposu,Ropang + susu,11000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Roposu.jpeg,true,false,2026-08-04 00:00:00+00
f1187d0a-d9b8-4682-b595-657b8cab0770,1360dbfe-81d4-45ad-9ff5-c06953ea4d60,Rosisir,Ropang + gula,11000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Rosisir.jpeg,true,false,2026-08-04 00:00:00+00
2265d3ae-4a91-4d37-84d7-dfa780509177,1360dbfe-81d4-45ad-9ff5-c06953ea4d60,Rocosu,Ropang + coklat + susu,14000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Rocosu.jpeg,true,false,2026-08-04 00:00:00+00
8fdd4ae7-aa16-4db6-8fdd-68da3513fb11,1360dbfe-81d4-45ad-9ff5-c06953ea4d60,Rokesu,Ropang + keju + susu,16000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Rokesu.jpeg,true,false,2026-08-04 00:00:00+00
c50a5a19-4fad-4bc6-b8bc-d55666e88916,1360dbfe-81d4-45ad-9ff5-c06953ea4d60,Roberry,Ropang + strawberry,15000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Roberry.jpeg,true,false,2026-08-04 00:00:00+00
b9f90342-48a9-4e29-857e-d67414416a8f,1360dbfe-81d4-45ad-9ff5-c06953ea4d60,Romilo,Ropang + milo + susu,16000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Romilo.jpeg,true,false,2026-08-04 00:00:00+00
c042c219-e679-42ef-ade9-91558a7dc13c,1360dbfe-81d4-45ad-9ff5-c06953ea4d60,Rochrunchy,Ropang + chocochrunchy,17000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Rochrunchy.jpeg,true,false,2026-08-04 00:00:00+00
f3048154-7699-4ddf-9499-51a443d88043,1360dbfe-81d4-45ad-9ff5-c06953ea4d60,Rocokang,Ropang + coklat + kacang + susu,17000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Rocokang.jpeg,true,false,2026-08-04 00:00:00+00
a5214110-2d90-47ea-b4df-4b6052b8efdf,1360dbfe-81d4-45ad-9ff5-c06953ea4d60,Rokemsu,Ropang + keju + coklat + susu,18000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Rokemsu.jpeg,true,false,2026-08-04 00:00:00+00
68e78b1f-b99d-4606-ae30-ab1f7c83d68c,1360dbfe-81d4-45ad-9ff5-c06953ea4d60,Rotella,Ropang + nutella,18000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Rotella.jpeg,true,false,2026-08-04 00:00:00+00
be9c8a13-9fe4-4c92-85ff-107d4acc732d,1360dbfe-81d4-45ad-9ff5-c06953ea4d60,Roteso,Ropang + telur + sosis,21000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Roteso.jpeg,true,false,2026-08-04 00:00:00+00
78e70577-1bff-4a8a-a892-36ccf0da7c10,1360dbfe-81d4-45ad-9ff5-c06953ea4d60,Rotekor,Ropang + telur + kornet,21000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Rotekor.jpeg,true,false,2026-08-04 00:00:00+00
d4811d4e-1d1c-45bf-8646-a122a6d2183f,68ec3b70-0132-45d2-99b2-868aa52dbf38,Indomie Rumipang Special,Bumbu spesial Rumipang + telor,16000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Indomie_Rumipang_Special.jpeg,true,false,2026-08-04 00:00:00+00
cb39b437-95fa-4f01-9e2e-5e98e54e3d5e,68ec3b70-0132-45d2-99b2-868aa52dbf38,Indomie Salted Egg,Tambahan salted egg sauce,19000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Indomie_Salted_Egg_Goreng.jpeg,true,false,2026-08-04 00:00:00+00
bbaf585c-558b-42a6-af4a-9ee5a4cf764a,68ec3b70-0132-45d2-99b2-868aa52dbf38,Indomie Karimy,Kuah susu creamy,16000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Indomie_Karimy.jpeg,true,false,2026-08-04 00:00:00+00
04310a53-e31c-4c32-a0d2-ca50673c6e65,68ec3b70-0132-45d2-99b2-868aa52dbf38,Indomie Goreng,Kari / soto anti kuah,12000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Indomie_Goreng_Kari.jpeg,true,false,2026-08-04 00:00:00+00
84536f8a-af3b-489a-9556-bc6aa1bb2a73,68ec3b70-0132-45d2-99b2-868aa52dbf38,Indomie Tekor,Mie + telur + kornet,21000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Indomie_Tekor.jpeg,true,false,2026-08-04 00:00:00+00
371f0b13-05db-4f1c-b026-7863cc89fdf8,68ec3b70-0132-45d2-99b2-868aa52dbf38,Indomie So Tekor,Mie + sosis + telur kornet,26000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Indomie_So_Tekor.jpeg,true,false,2026-08-04 00:00:00+00
f15be844-f0d5-41ce-b5a6-76f7293afb10,68ec3b70-0132-45d2-99b2-868aa52dbf38,Indomie Polos,Ya indomie polos aja,12000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Indomie_Polos_Goreng.jpeg,true,false,2026-08-04 00:00:00+00
18d4dfc0-ff60-4677-95ae-66d65407df2f,6b177ac1-d08f-4ea2-b17e-a339fcb5c4fc,Cipop Original,Nasi + chicken pop original,22000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Cipop_Original.jpeg,true,false,2026-08-04 00:00:00+00
bab04859-d69d-4182-a219-4a93b1c5557b,6b177ac1-d08f-4ea2-b17e-a339fcb5c4fc,Cipop Matah Bali,Nasi + chicken pop dengan sambal matah,25000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Cipop_Matah_Bali.jpeg,true,false,2026-08-04 00:00:00+00
569816c2-0fa1-4894-99c7-f06b50f98acd,6b177ac1-d08f-4ea2-b17e-a339fcb5c4fc,Cipop Japanese Mentai,Nasi + chicken pop dengan bumbu mentai,26000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Cipop_Japanese_Mentai.jpeg,true,false,2026-08-04 00:00:00+00
2763261f-0d8a-4c28-97d8-165d625ec1cd,6b177ac1-d08f-4ea2-b17e-a339fcb5c4fc,Cipop Cheese,Nasi + chicken pop saus keju,25000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Cipop_Cheese.jpeg,true,false,2026-08-04 00:00:00+00
20c58d47-3248-4129-aacd-8e612c7cb3cb,6b177ac1-d08f-4ea2-b17e-a339fcb5c4fc,Cipop Salted Egg,Nasi + chicken pop dengan bumbu salted egg,26000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Cipop_Salted_Egg.jpeg,true,false,2026-08-04 00:00:00+00
d3d9f8e2-7484-4ebb-b0c5-74957a428a96,6b177ac1-d08f-4ea2-b17e-a339fcb5c4fc,Tekor Rice,Nasi + telor + kornet,16000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Tekor_Rice.jpeg,true,false,2026-08-04 00:00:00+00
e1fe1cbb-f3a2-48c2-a5a5-16d30b512a0e,93c72c0e-5321-4518-83fc-56c9a9ebf444,French Fries,Kentang goreng crispy,17000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/French_Fries.jpeg,true,false,2026-08-04 00:00:00+00
2ef979d8-1b34-4289-89c5-1d08ef4a02c1,93c72c0e-5321-4518-83fc-56c9a9ebf444,Cireng,Aci goreng gurih,15000,,true,false,2026-08-04 00:00:00+00
9594218f-e519-4f2a-870e-dbc5620aa933,93c72c0e-5321-4518-83fc-56c9a9ebf444,Cimol Keju,Cimol dengan kuah keju,15000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Cimol_Keju.jpeg,true,false,2026-08-04 00:00:00+00
d358c3c8-bea7-4991-a9b6-f39b26261030,93c72c0e-5321-4518-83fc-56c9a9ebf444,Mix Platter,Kentang + sosis + nugget,24000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Mix_Platter.jpeg,true,false,2026-08-04 00:00:00+00
2e0faa76-7f19-4266-a38f-a04a73df3049,93c72c0e-5321-4518-83fc-56c9a9ebf444,Nugget,Nugget ayam crispy,17000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Nugget.jpeg,true,false,2026-08-04 00:00:00+00
6359bf97-192c-44a5-8fe6-ad85dd3839a8,93c72c0e-5321-4518-83fc-56c9a9ebf444,Kerupuk Putih,Kerupuk putih renyah,2000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Kerupuk_Putih.jpeg,true,false,2026-08-04 00:00:00+00
ff1e8f1d-5636-4326-8a2f-89209270c98b,93c72c0e-5321-4518-83fc-56c9a9ebf444,Basreng,Baso goreng bumbu pedas,5000,,true,false,2026-08-04 00:00:00+00
d24b2e27-38ef-467f-9d8c-ded9bb303a92,70e91f0a-a86e-44ee-be88-6e725f34a7a5,Teh Tawar,Teh tawar hot / ice,5000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Teh_Tawar.jpeg,true,false,2026-08-04 00:00:00+00
44d673b8-89c3-4439-be08-03cc78601caa,70e91f0a-a86e-44ee-be88-6e725f34a7a5,Es Teh Manis,Teh manis hot / ice,6000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Es_Teh_Manis.jpeg,true,false,2026-08-04 00:00:00+00
091a5b6a-d402-47a5-b52d-8c5d9930f003,70e91f0a-a86e-44ee-be88-6e725f34a7a5,Teh Tarik,Teh tarik hot / ice,8000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Teh_Tarik.jpeg,true,false,2026-08-04 00:00:00+00
8cf45479-be9e-4ddf-9bd3-bb538ad90765,70e91f0a-a86e-44ee-be88-6e725f34a7a5,Milo,Milo hot / ice,9000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Milo.jpeg,true,false,2026-08-04 00:00:00+00
4932895b-2060-43cf-8633-19b3767d7367,70e91f0a-a86e-44ee-be88-6e725f34a7a5,Lychee Tea,Teh leci segar,15000,https://jenpnmmcpwnygiluefyw.supabase.co/storage/v1/object/public/menu-images/Lychee_Peach_Tea.jpeg,true,false,2026-08-04 00:00:00+00
